[CV 1/5] END max_depth=None, min_samples_leaf=1, min_samples_split=2, n_estimators=100, score=0.595, total time=0.2s
[CV 2/5] END max_depth=None, min_samples_leaf=1, min_samples_split=2, n_estimators=100, score=0.757, total time=0.1s
[CV 3/5] END max_depth=None, min_samples_leaf=1, min_samples_split=2, n_estimators=100, score=0.806, total time=0.1s
[CV 4/5] END max_depth=None, min_samples_leaf=1, min_samples_split=2, n_estimators=100, score=0.833, total time=0.2s
[CV 5/5] END max_depth=None, min_samples_leaf=1, min_samples_split=2, n_estimators=100, score=0.694, total time=0.2s
[CV 1/5] END max_depth=None, min_samples_leaf=1, min_samples_split=2, n_estimators=200, score=0.541, total time=0.4s
[CV 2/5] END max_depth=None, min_samples_leaf=1, min_samples_split=2, n_estimators=200, score=0.757, total time=0.4s
[CV 3/5] END max_depth=None, min_samples_leaf=1, min_samples_split=2, n_estimators=200, score=0.833, total time=0.4s
[CV 4/5] END max_depth=None, min_samples_leaf=1, min_samples_split=2, n_estimators=200, score=0.861, total time=0.4s
[CV 5/5] END max_depth=None, min_samples_leaf=1, min_samples_split=2, n_estimators=200, score=0.750, total time=0.4s
[CV 1/5] END max_depth=None, min_samples_leaf=1, min_samples_split=2, n_estimators=300, score=0.595, total time=0.6s
[CV 2/5] END max_depth=None, min_samples_leaf=1, min_samples_split=2, n_estimators=300, score=0.757, total time=0.6s
[CV 3/5] END max_depth=None, min_samples_leaf=1, min_samples_split=2, n_estimators=300, score=0.778, total time=0.8s
[CV 4/5] END max_depth=None, min_samples_leaf=1, min_samples_split=2, n_estimators=300, score=0.806, total time=0.6s
[CV 5/5] END max_depth=None, min_samples_leaf=1, min_samples_split=2, n_estimators=300, score=0.778, total time=0.6s
[CV 1/5] END max_depth=None, min_samples_leaf=1, min_samples_split=5, n_estimators=100, score=0.622, total time=0.1s
[CV 2/5] END max_depth=None, min_samples_leaf=1, min_samples_split=5, n_estimators=100, score=0.730, total time=0.1s
[CV 3/5] END max_depth=None, min_samples_leaf=1, min_samples_split=5, n_estimators=100, score=0.806, total time=0.1s
[CV 4/5] END max_depth=None, min_samples_leaf=1, min_samples_split=5, n_estimators=100, score=0.861, total time=0.1s
[CV 5/5] END max_depth=None, min_samples_leaf=1, min_samples_split=5, n_estimators=100, score=0.722, total time=0.1s
[CV 1/5] END max_depth=None, min_samples_leaf=1, min_samples_split=5, n_estimators=200, score=0.568, total time=0.3s
[CV 2/5] END max_depth=None, min_samples_leaf=1, min_samples_split=5, n_estimators=200, score=0.703, total time=0.3s
[CV 3/5] END max_depth=None, min_samples_leaf=1, min_samples_split=5, n_estimators=200, score=0.833, total time=0.3s
[CV 4/5] END max_depth=None, min_samples_leaf=1, min_samples_split=5, n_estimators=200, score=0.833, total time=0.3s
[CV 5/5] END max_depth=None, min_samples_leaf=1, min_samples_split=5, n_estimators=200, score=0.750, total time=0.3s
