max_depth, min_samples_leaf, min_samples_split, n_estimators, score, total time
None,1,2,100,0.595,0.2s
None,1,2,100,0.757,0.1s
None,1,2,100,0.806,0.1s
None,1,2,100,0.833,0.2s
None,1,2,100,0.694,0.2s
None,1,2,200,0.541,0.4s
None,1,2,200,0.757,0.4s
None,1,2,200,0.833,0.4s
None,1,2,200,0.861,0.4s
None,1,2,200,0.750,0.4s
None,1,2,300,0.595,0.6s
None,1,2,300,0.757,0.6s
None,1,2,300,0.778,0.8s
None,1,2,300,0.806,0.6s
None,1,2,300,0.778,0.6s
None,1,5,100,0.622,0.1s
None,1,5,100,0.730,0.1s
None,1,5,100,0.806,0.1s
None,1,5,100,0.861,0.1s
None,1,5,100,0.722,0.1s
None,1,5,200,0.568,0.3s
None,1,5,200,0.703,0.3s
None,1,5,200,0.833,0.3s
None,1,5,200,0.833,0.3s
None,1,5,200,0.750,0.3s
None,1,5,300,0.649,0.4s
None,1,5,300,0.757,0.4s
None,1,5,300,0.806,0.4s
None,1,5,300,0.861,0.4s
None,1,5,300,0.722,0.4s
None,1,10,100,0.622,0.1s
None,1,10,100,0.730,0.1s
None,1,10,100,0.778,0.1s
None,1,10,100,0.833,0.1s
None,1,10,100,0.694,0.1s
None,1,10,200,0.622,0.3s
None,1,10,200,0.730,0.4s
None,1,10,200,0.833,0.3s
None,1,10,200,0.806,0.2s
None,1,10,200,0.722,0.2s
None,1,10,300,0.649,0.5s
None,1,10,300,0.730,0.7s
None,1,10,300,0.778,0.4s
None,1,10,300,0.861,0.5s
None,1,10,300,0.667,0.4s
None,2,2,100,0.622,0.1s
None,2,2,100,0.730,0.1s
None,2,2,100,0.722,0.1s
None,2,2,100,0.861,0.1s
None,2,2,100,0.667,0.1s
None,2,2,200,0.568,0.3s
None,2,2,200,0.703,0.3s
None,2,2,200,0.750,0.3s
None,2,2,200,0.778,0.2s
None,2,2,200,0.667,0.3s
None,2,2,300,0.622,0.5s
None,2,2,300,0.703,0.4s
None,2,2,300,0.750,0.4s
None,2,2,300,0.722,0.5s
None,2,2,300,0.722,0.5s
None,2,5,100,0.595,0.1s
None,2,5,100,0.703,0.1s
None,2,5,100,0.750,0.1s
None,2,5,100,0.833,0.1s
None,2,5,100,0.722,0.1s
None,2,5,200,0.568,0.3s
None,2,5,200,0.703,0.3s
None,2,5,200,0.750,0.4s
None,2,5,200,0.750,0.4s
None,2,5,200,0.667,0.2s
None,2,5,300,0.595,0.5s
None,2,5,300,0.676,0.4s
None,2,5,300,0.722,0.4s
None,2,5,300,0.806,0.4s
None,2,5,300,0.694,0.4s
None,2,10,100,0.568,0.1s
None,2,10,100,0.730,0.1s
None,2,10,100,0.722,0.1s
None,2,10,100,0.694,0.1s
None,2,10,100,0.639,0.1s
None,2,10,200,0.622,0.2s
None,2,10,200,0.676,0.2s
None,2,10,200,0.722,0.2s
None,2,10,200,0.778,0.2s
None,2,10,200,0.667,0.2s
None,2,10,300,0.622,0.4s
None,2,10,300,0.676,0.3s
None,2,10,300,0.778,0.3s
None,2,10,300,0.833,0.3s
None,2,10,300,0.667,0.4s
None,4,2,100,0.514,0.0s
None,4,2,100,0.622,0.0s
None,4,2,100,0.639,0.1s
None,4,2,100,0.639,0.1s
None,4,2,100,0.639,0.1s
None,4,2,200,0.514,0.2s
None,4,2,200,0.622,0.2s
None,4,2,200,0.639,0.2s
None,4,2,200,0.556,0.2s
None,4,2,200,0.583,0.2s
None,4,2,300,0.622,0.3s
None,4,2,300,0.622,0.4s
None,4,2,300,0.639,0.3s
None,4,2,300,0.611,0.3s
None,4,2,300,0.611,0.3s
None,4,5,100,0.622,0.0s
